Augusta Court	Rothwell	LS26	53.7457	-1.4706	1:NERF;2:NERG;3:NERH;4:NERI;5:NERJ;
Austhorpe Avenue	Austhorpe	LS15	53.7965	-1.4341	10:EA7I;11:M8ZD;11A:EBZD;12:EA7M;14:M8Z1;15:LR6E;16:EA7U;17:HR8V;18:EA7R;19:EA7P;1:EZON;20:EA7O;21:FSNW;22:EBYS;23:EBYV;24:M8ZC;25:EBYX;26:EBYY;28:FSNV;2:EBOR;2A:K963;30:EBYR;32:EBZ8;34:EBZ6;3:EBY8;4:M8ZB;5:EBOS;6:EBOQ;7:EBOO;8:EBON;9:EA7K;
Austhorpe Court	Austhorpe	LS15	53.7952	-1.4323	10:GBHA;11:GBHJ;12:GBHK;15:GBHL;1:HA1C;2:M48I;3:HNZ8;4:GBHC;5:IJ3G;6:LRZP;7:GBHF;8:GBHG;9:GBHP;
Austhorpe Drive	Austhorpe	LS15	53.7961	-1.4322	10:DHIH;11:DHIN;12:JIX1;14:DHIM;15:FUMQ;16:DHIJ;17:DHIA;18:LGW4;19:DHHT;1:EBZB;21:DHHV;23:DHHW;25:DHHX;27:DHHY;29:DHHR;2:EBZ2;31:DHI9;33:DHI0;35:DHI5;37:DHI3;38:DHI1;39:ED57;40:GP7H;41:ED52;42:ED4Y;43:LHDP;44:HR77;45:M8Z0;46:EBOA;47:EBO8;48:EBO6;49:EBOB;4:EBZ1;50:GO6X;51:ED4W;52:ED4Z;5:DHHS;6:DHID;7:JIX0;8:FUMO;9:DHIG;SANTA ROSA, 11A:FQGD;
Austhorpe Gardens	Austhorpe	LS15	53.7968	-1.4312	1:KQJZ;2:GMAM;3:KQJ5;4:KQJ3;5:KQJ1;6:KQIZ;7:KQIR;
Austhorpe Grove	Austhorpe	LS15	53.7965	-1.4352	10:ECUZ;11:ED4X;12:HR76;13:ECV0;14:EA7L;15:DH4Z;16:DH4X;18:DH4V;18A:DH4T;20:HSEV;20A:DH4W;3:DHIU;4:ECUR;5:ECUT;6:ECUW;7:ED4O;8:ED4V;9:ED4T;
Austhorpe Lane	Austhorpe	LS15	53.8013	-1.4397	101:LBT7;103:EA81;105:EA83;107:EA86;109:EA87;111:EA8H;113:EA7X;115:HR8X;117:EA8I;119:F0IL;11:EDB4;121:EA8F;123:EA8C;125:EDAP;127:EDAL;129:EDAJ;131:ED1D;133:ED1B;135:F0J3;137:ED1C;139:EDAY;13:K964;141:F0J4;143:LC2U;145:EDAO;147:EDAT;149:EDAR;151:EDAW;153:ED0I;155:ED0L;157:ED0M;159:ED0O;15:EDB7;161:ED0Q;163:ED10;165:ED0H;167:ED14;169:ED12;171:LHMQ;173:ED0Z;175:DHHD;177:DHIB;179:LBRU;17:M8YW;181:EAO3;183:EAO4;185:EAO8;187:ECC2;189:LBTE;191:ECC4;193:EBC7;19:EDAZ;1:DGEA;21:DH4M;23:DH4K;25:DH4P;27:DH4G;29:KB49;31:DGEL;33:HSEZ;3:DGE8;47:DGF3;49:GO7U;4:DH52;51:DGF5;53:DGEY;55:FTMV;57:M8ZF;5:DGE5;61:EDCD;63:EDCB;65:LC2X;67:EDC8;69:DGED;6:DH55;71:DGEH;73:DGEU;75:F0AA;77:DGEO;79:GQ8T;7:DGE7;81:EA8O;83:FSO6;85:EC06;87:EA8L;89:ED0D;8:EDOL;91:F0J2;93:ED0A;95:ED09;97:ED08;99:EA8A;9:EDB2;AUSTHORPE HALL FARM:F0NA;SCHOOL BUNGALOW:K965;
Austhorpe Road	Cross Gates	LS15	53.8073	-1.4475	104:EC0A;106:FSOX;114:EAZJ;118:FRPM;120:F0IW;122:EAZX;124:EAZV;126:FRPP;128:EAZR;130:EBBC;134:EE99;136:EE8H;138:EE8K;140:HQ1C;142:EE8T;144:EE9G;146:EE93;148:EC1K;14A:LHE9;152:ECY3;154:F0IN;156:ED7U;158:ED7X;160:HQ0P;162:ECXT;164:FQFI;166:ECXZ;16A:K966;20A:LBE2;24A:NME9;27A:K940;43:EEXX;45A:NGRS;45B:NGRT;52A:K969;56A:NHEU;57:EDOD;58A:K96A;59:DHHC;61:DICW;63:DHHJ;65:DICD;67:DICH;69:DICN;72:NKQ5;73:EDO7;74:NKQ6;75:EAZ2;76:NKQ7;77:EAZ5;78:EAZ7;80A:ODWE;80C:ODWF;82:EAZH;84:EAZG;86:EAZA;88:EAZ9;ASSISTANT MANAGERS FLAT AT THE BARNBOW:EXMV;BACK FLAT, 170:MF8R;BASEMENT FLAT 4, 94:NZFW;BASEMENT FLAT REAR, 110:K762;BASEMENT FLAT, 108:F37B;BASEMENT FLAT, 114:NISX;FIRST FLOOR FLAT 2, 94:K9EA;FIRST FLOOR FLAT, 17:K967;FIRST FLOOR FRONT FLAT 3, 108:DCCB;FIRST FLOOR FRONT FLAT, 110:K75Y;FIRST FLOOR REAR FLAT 4, 108:DCCC;FIRST FLOOR REAR FLAT, 110:K75Z;FLAT 1, 100:LRAF;FLAT 1, 102:KHB0;FLAT 1, 110:K75X;FLAT 1, 112:J5ZN;FLAT 1, 116:KF2L;FLAT 1, 11:HS8V;FLAT 1, 150:EAI2;FLAT 1, 168:KB4D;FLAT 1, 170:KB4E;FLAT 1, 1921:LHZ9;FLAT 1, 28:NUNE;FLAT 1, 55:MMD7;FLAT 1, 70:KBC4;FLAT 1, 90:DDEP;FLAT 1, 92:K9E9;FLAT 1, 96:KB4C;FLAT 1, 98:K9EE;FLAT 2, 100:LDOP;FLAT 2, 102:KHB1;FLAT 2, 112:KA2F;FLAT 2, 116:KF2M;FLAT 2, 11:HS8W;FLAT 2, 150:EAI3;FLAT 2, 168:L7VB;FLAT 2, 170:K9EH;FLAT 2, 1921:LKOZ;FLAT 2, 28:NUNF;FLAT 2, 55:MMD8;FLAT 2, 70:DICT;FLAT 2, 90:EZOD;FLAT 2, 92:L7VA;FLAT 2, 96:K9ED;FLAT 2, 98:FZER;FLAT 3, 100:LDOQ;FLAT 3, 102:KHB2;FLAT 3, 112:ECNK;FLAT 3, 116:KF2N;FLAT 3, 11:HS8X;FLAT 3, 150:KDER;FLAT 3, 168:K9EG;FLAT 3, 170:K9EI;FLAT 3, 28:NUNG;FLAT 3, 55:MMD9;FLAT 3, 70:DICL;FLAT 3, 90:EZOE;FLAT 3, 92:KB4B;FLAT 3, 96:EAYS;FLAT 3, 98:DCBV;FLAT 3A, 116:KF2O;FLAT 4, 100:DDH5;FLAT 4, 102:DC0T;FLAT 4, 112:MNN6;FLAT 4, 11:LX69;FLAT 4, 150:F0IO;FLAT 4, 55:MMDA;FLAT 4, 90:KC3W;FLAT 4, 92:O52T;FLAT 5, 100:DDH6;FLAT 5, 112:ECNG;FLAT 5, 150:OFIA;FLAT 5, 55:OEFO;FLAT 6, 112:EB00;FLAT 6, 150:OFIB;FLAT 7, 112:NF1J;FLAT A, 23:KB4A;FLAT AT, 60:NKKU;FLAT THE BARNBOW:LUUU;FLAT, 25:LGPG;FLAT, 29:LGPF;FLAT, 31:NQV9;GROUND FLOOR FLAT 1, 94:K9EB;GROUND FLOOR FLAT 2, 108:KGKF;ROOM 1 GROUND FLOOR FRONT, 114:NISY;ROOM 2 FIRST FLOOR FRONT, 114:KF0M;ROOM 3 FIRST FLOOR REAR, 114:KF0N;ROOM 4 SECOND FLOOR FRONT, 114:NHSX;ROOM 5 SECOND FLOOR REAR, 114:KF0O;ROOM BASEMENT, 106:NHT7;ROOM FIRST FLOOR FRONT, 106:NHT9;ROOM FIRST FLOOR REAR, 106:NHTA;ROOM GROUND FLOOR, 106:NHT8;ROOM SECOND FLOOR FRONT, 106:NHTB;ROOM SECOND FLOOR REAR, 106:NHTC;SECOND FLOOR FLAT 3, 94:K9EC;SECOND FLOOR FLAT, 17:ECCK;SECOND FLOOR FRONT FLAT 5, 108:NJ8D;SECOND FLOOR FRONT FLAT, 110:K760;SECOND FLOOR REAR FLAT 6, 108:DCCD;SECOND FLOOR REAR FLAT, 110:K761;
Austhorpe View	Austhorpe	LS15	53.7983	-1.4413	17:EBKY;19:EBL1;1B:LW10;21:EBL6;23:EBL8;25:EBLB;27:EBKN;29:EBKH;31:M8Z3;33:LR6X;35:EBKP;FLAT ABOVE, 1115:M1H9;GARAGE SITE REAR OF, 1:GL97;
Authorpe Road	Meanwood	LS6	53.8279	-1.5662	2:EBKU;BAY COTTAGE:KB4F;
Autumn Avenue	Wetherby	LS22	53.9426	-1.3891	10:JESM;1:EUIP;2:EUIS;3:LUGS;4:EUIW;5:EUIY;6:E56C;7:M0UD;8:JES8;9:EUJ2;
